venue_name,venue_id,sample_venue_url,activity_names,activity_ids
Swiss Cottage Secondary School Hall,hYycEG6ZKDzU9hPtylTnO,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/hYycEG6ZKDzU9hPtylTnO/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Tanjong Katong Primary School Hall,vaQGoXpxWgK2dmKgDLRM5,https://activesg.gov.sg/facility-bookings/activities/CyIu0PE42fqR0SHD7XwMB/venues/vaQGoXpxWgK2dmKgDLRM5/timeslots,Basketball,CyIu0PE42fqR0SHD7XwMB
Tanjong Katong Secondary School Field,a4a8iUqKHlmGBR0zrO5DW,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/a4a8iUqKHlmGBR0zrO5DW/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Tanjong Katong Secondary School Hall,ayk73nfa5uditdsT413Mg,https://activesg.gov.sg/facility-bookings/activities/8WxkVBEDsT9TzydhZ81pK/venues/ayk73nfa5uditdsT413Mg/timeslots,Netball,8WxkVBEDsT9TzydhZ81pK
Teck Ghee Primary School Hall,9tXy1KidVs30boQrZL9UJ,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/9tXy1KidVs30boQrZL9UJ/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Telok Kurau Primary School Field,tSYsbdXdWLim9qkSap97f,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/tSYsbdXdWLim9qkSap97f/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Telok Kurau Primary School Hall,cVrK1OtvKUrGCFJ0eQeXM,https://activesg.gov.sg/facility-bookings/activities/CyIu0PE42fqR0SHD7XwMB/venues/cVrK1OtvKUrGCFJ0eQeXM/timeslots,Basketball,CyIu0PE42fqR0SHD7XwMB
Temasek Primary School Field,KoFpA5UeROoh1QN4s0g0w,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/KoFpA5UeROoh1QN4s0g0w/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Townsville Primary School Field,2tARK6DN5QJkJmqEpaLlo,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/2tARK6DN5QJkJmqEpaLlo/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Townsville Primary School Hall,9woSUBifmxK6x5JNtUUYU,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/9woSUBifmxK6x5JNtUUYU/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Unity Primary School Hall,lPVLkQadHo9kcrsVzXn0w,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/lPVLkQadHo9kcrsVzXn0w/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Unity Secondary School Field,pEmb6ZtAyE4lJcIxbl732,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/pEmb6ZtAyE4lJcIxbl732/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Unity Secondary School Hall,F3xRj0oJrtsATkGAjjExT,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/F3xRj0oJrtsATkGAjjExT/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Valour Primary School Field,dWn5EP7FlmYMKxv59PHKA,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/dWn5EP7FlmYMKxv59PHKA/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Victoria School (Secondary) Hall,cJtCxFJQpjJFORg3zT8tM,https://activesg.gov.sg/facility-bookings/activities/CyIu0PE42fqR0SHD7XwMB/venues/cJtCxFJQpjJFORg3zT8tM/timeslots,Basketball,CyIu0PE42fqR0SHD7XwMB
Waterway Primary School Hall,9bkrZugmsZepQ2jtTajzm,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/9bkrZugmsZepQ2jtTajzm/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Wellington Primary School Field,su3UoQOrCIHe9dwhyZ2mY,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/su3UoQOrCIHe9dwhyZ2mY/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Wellington Primary School Hall,Nyj8pYIPzftWajtf8Kh7b,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/Nyj8pYIPzftWajtf8Kh7b/timeslots,Badminton | Pickleball,YLONatwvqJfikKOmB5N9U | BPQihVHITc7IPGorVeB2Y
West Spring Secondary School Field,DpiKgWLmVws2Jw0TxJvr7,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/DpiKgWLmVws2Jw0TxJvr7/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
West Spring Secondary School Hall,uXCwxqmmAXco2c7k7tnPl,https://activesg.gov.sg/facility-bookings/activities/3HIXIVGIe4qgenT2kKc3F/venues/uXCwxqmmAXco2c7k7tnPl/timeslots,Volleyball,3HIXIVGIe4qgenT2kKc3F
West View Primary School Hall,OnP973cyRwtiEV383oTO5,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/OnP973cyRwtiEV383oTO5/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
